"filename", "language", "Dart", "Swift", "JSON", "XML", "Markdown", "YAML", "C++", "CMake", "HTML", "Groovy", "Properties", "comment", "blank", "total"
"e:\new\bekam\lib\presentation\widgets\onboarding\onboarding_item.dart", "Dart", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 5, 63
"e:\new\bekam\lib\presentation\widgets\register\common\facebook_login_btn.dart", "Dart", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 8, 45
"e:\new\bekam\lib\presentation\widgets\register\common\google_login_btn.dart", "Dart", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 8, 45
"e:\new\bekam\lib\presentation\widgets\register\common\or_widget.dart", "Dart", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 42
"e:\new\bekam\lib\presentation\widgets\register\login\login_email_text_field.dart", "Dart", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 3, 30
"e:\new\bekam\lib\presentation\widgets\register\login\login_password_text_field.dart", "Dart", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 3, 32
"e:\new\bekam\lib\presentation\widgets\register\password_recovery\password_recovery_email_text_field.dart", "Dart", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 3, 39
"e:\new\bekam\lib\presentation\widgets\register\signup\signup_email_text_field.dart", "Dart", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 3, 32
"e:\new\bekam\lib\presentation\widgets\register\signup\signup_password_text_field.dart", "Dart", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 3, 33
"e:\new\bekam\lib\select_cheap.dart", "Dart", 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 13, 93
"e:\new\bekam\lib\trial.dart", "Dart", 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 7, 83
"e:\new\bekam\linux\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 4, 5, 12
"e:\new\bekam\linux\flutter\generated_plugin_registrant.h", "C++", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 5, 6, 16
"e:\new\bekam\linux\flutter\generated_plugins.cmake", "CMake", 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 6, 24
"e:\new\bekam\linux\main.cc", "C++", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 2, 7
"e:\new\bekam\linux\my_application.cc", "C++", 0, 0, 0, 0, 0, 0, 74, 0, 0, 0, 0, 11, 20, 105
"e:\new\bekam\linux\my_application.h", "C++", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 7, 5, 19
"e:\new\bekam\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 23
"e:\new\bekam\macos\RunnerTests\RunnerTests.swift", "Swift", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 13
"e:\new\bekam\macos\Runner\AppDelegate.swift", "Swift", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"e:\new\bekam\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 69
"e:\new\bekam\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 343, 0, 0, 0, 0, 0, 0, 0, 0, 1, 344
"e:\new\bekam\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"e:\new\bekam\macos\firebase_app_id_file.json", "JSON", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
"e:\new\bekam\pubspec.yaml", "YAML", 0, 0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 26, 8, 91
"e:\new\bekam\test\widget_test.dart", "Dart", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 8, 35
"e:\new\bekam\web\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 16, 6, 60
"e:\new\bekam\web\manifest.json", "JSON", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35
"e:\new\bekam\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 4, 5, 21
"e:\new\bekam\windows\flutter\generated_plugin_registrant.h", "C++", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 5, 6, 16
"e:\new\bekam\windows\flutter\generated_plugins.cmake", "CMake", 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 6, 27
"e:\new\bekam\windows\runner\flutter_window.cpp", "C++", 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 4, 15, 67
"e:\new\bekam\windows\runner\flutter_window.h", "C++", 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 5, 9, 34
"e:\new\bekam\windows\runner\main.cpp", "C++", 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 4, 10, 44
"e:\new\bekam\windows\runner\resource.h", "C++", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 6, 2, 17
"e:\new\bekam\windows\runner\utils.cpp", "C++", 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 2, 10, 66
"e:\new\bekam\windows\runner\utils.h", "C++", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 6, 6, 20
"e:\new\bekam\windows\runner\win32_window.cpp", "C++", 0, 0, 0, 0, 0, 0, 210, 0, 0, 0, 0, 24, 55, 289
"e:\new\bekam\windows\runner\win32_window.h", "C++", 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 12351, 62, 4535, 508, 16, 60, 539, 39, 38, 91, 8, 2146, 2209, 22602
