"filename", "language", "Swift", "XML", "YAML", "Dart", "CMake", "C++", "JSON", "comment", "blank", "total"
"e:\new\bekam\lib\data\cubit\signup_cubit.dart", "Dart", 0, 0, 0, -164, 0, 0, 0, -20, -32, -216
"e:\new\bekam\lib\data\cubit\signup_state.dart", "Dart", 0, 0, 0, -7, 0, 0, 0, 0, -6, -13
"e:\new\bekam\lib\data\cubit\theme_cubit.dart", "Dart", 0, 0, 0, -30, 0, 0, 0, -16, -9, -55
"e:\new\bekam\lib\data\cubit\theme_state.dart", "Dart", 0, 0, 0, -6, 0, 0, 0, 0, -4, -10
"e:\new\bekam\lib\data\cubit\user_verification_helper_cubit.dart", "Dart", 0, 0, 0, -52, 0, 0, 0, -2, -10, -64
"e:\new\bekam\lib\data\cubit\user_verification_helper_state.dart", "Dart", 0, 0, 0, -9, 0, 0, 0, 0, -6, -15
"e:\new\bekam\lib\data\injection.dart", "Dart", 0, 0, 0, -13, 0, 0, 0, -6, -7, -26
"e:\new\bekam\lib\data\model\api_result\api_result.dart", "Dart", 0, 0, 0, 9, 0, 0, 0, 25, 5, 39
"e:\new\bekam\lib\data\model\api_result\api_result.freezed.dart", "Dart", 0, 0, 0, 290, 0, 0, 0, 18, 47, 355
"e:\new\bekam\lib\data\model\banner_model\banner_model.dart", "Dart", 0, 0, 0, 23, 0, 0, 0, 30, 13, 66
"e:\new\bekam\lib\data\model\banner_model\banner_model.g.dart", "Dart", 0, 0, 0, 22, 0, 0, 0, 4, 5, 31
"e:\new\bekam\lib\data\model\category_model\category_model.dart", "Dart", 0, 0, 0, 35, 0, 0, 0, 35, 16, 86
"e:\new\bekam\lib\data\model\category_model\category_model.g.dart", "Dart", 0, 0, 0, 29, 0, 0, 0, 4, 5, 38
"e:\new\bekam\lib\data\model\error_model.dart", "Dart", 0, 0, 0, -10, 0, 0, 0, 0, -8, -18
"e:\new\bekam\lib\data\model\error_model.g.dart", "Dart", 0, 0, 0, -10, 0, 0, 0, -4, -5, -19
"e:\new\bekam\lib\data\model\error_model\error_model.dart", "Dart", 0, 0, 0, 10, 0, 0, 0, 14, 7, 31
"e:\new\bekam\lib\data\model\error_model\error_model.g.dart", "Dart", 0, 0, 0, 10, 0, 0, 0, 4, 5, 19
"e:\new\bekam\lib\data\model\network_exception\network_exception.dart", "Dart", 0, 0, 0, 148, 0, 0, 0, 41, 25, 214
"e:\new\bekam\lib\data\model\network_exception\network_exception.freezed.dart", "Dart", 0, 0, 0, 3523, 0, 0, 0, 66, 277, 3866
"e:\new\bekam\lib\data\model\onboarding_model\onboarding_model.dart", "Dart", 0, 0, 0, 9, 0, 0, 0, 13, 7, 29
"e:\new\bekam\lib\data\model\product_model\add_ons.dart", "Dart", 0, 0, 0, 48, 0, 0, 0, 20, 20, 88
"e:\new\bekam\lib\data\model\product_model\branch_product.dart", "Dart", 0, 0, 0, 71, 0, 0, 0, 20, 21, 112
"e:\new\bekam\lib\data\model\product_model\category_id.dart", "Dart", 0, 0, 0, 21, 0, 0, 0, 12, 14, 47
"e:\new\bekam\lib\data\model\product_model\choice_option.dart", "Dart", 0, 0, 0, 26, 0, 0, 0, 14, 14, 54
"e:\new\bekam\lib\data\model\product_model\product.dart", "Dart", 0, 0, 0, 209, 0, 0, 0, 57, 58, 324
"e:\new\bekam\lib\data\model\product_model\product_model.dart", "Dart", 0, 0, 0, 51, 0, 0, 0, 16, 18, 85
"e:\new\bekam\lib\data\model\product_model\rating.dart", "Dart", 0, 0, 0, 21, 0, 0, 0, 12, 12, 45
"e:\new\bekam\lib\data\model\product_model\variation.dart", "Dart", 0, 0, 0, 42, 0, 0, 0, 13, 15, 70
"e:\new\bekam\lib\data\model\product_model\variation_value.dart", "Dart", 0, 0, 0, 16, 0, 0, 0, 9, 10, 35
